Region,Category,Country,Group,Summary,TSC,Date,Type,Cleaned_Column,Lemmatized_Column,Final_cleaned
AM,Laptop,United States,Deskside,Hardware Issue - Laptop battery issues / Performance,Y,27-09-2022,Incident,hardware issue  laptop battery issues  perfor,hardware issue   laptop battery issue   perfor,hardware issue laptop battery issue perfor
AM,Password,United States,Deskside,Chrome - Bookmarks and passwords disappear every time Chrome is fully closed,Y,26-09-2022,Incident,chrome  bookmarks and passwords disappear ever,chrome   bookmark and password disappear ever,chrome bookmark password disappear
AM,Network,United States,Deskside,Internet - Network connectivity issues - URGENT!,Y,26-09-2022,Incident,  internet  network connectivity issues  urgent,   internet   network connectivity issue   urgent,internet network connectivity issue
AM,,United States,Deskside,Application Issue - Adobe Acrobat/Installation,Y,28-09-2022,Incident,    application issue  adobe acrobatinstallation,     application issue   adobe acrobatinstallation,application issue adobe acrobatinstallation
AM,M365,United States,Deskside,Microsoft Project - Admin credentials needed for installation,Y,26-09-2022,Incident,microsoft project  admin credentials needed fo,microsoft project   admin credential need fo,microsoft project admin credential need fo
AM,,United States,Deskside,Reported Issue - Security - Other,Y,13-10-2022,Incident,                 reported issue  security  other,                  report issue   security   other,report issue security
AM,Windows / OS,United States,Deskside,Out of space in the computer,Y,22-09-2022,Incident,                      out of space in the computer,                       out of space in the computer,
AM,Access,,Deskside,Generic Account - Access Issues ,Y,28-09-2022,Incident,                  generic account  access issues ,                   generic account   access issue,generic account access issue
AM,Printer,United States,Deskside,JLL Hardware Issue - Printer mapping  issue,Y,03-10-2022,Incident,       jll hardware issue  printer mapping  issue,        jll hardware issue   printer mapping   issue,jll hardware issue printer
AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop Performance Issues,Y,26-09-2022,Incident,    jll hardware issue  laptop performance issues,     jll hardware issue   laptop performance issue,jll hardware issue laptop performance issue
AM,,United States,Deskside,BAC  Visio Install and setup Assistance,Y,27-09-2022,Incident,           bac  visio install and setup assistance,            bac   visio install and setup assistance,bac visio install setup assistance
AM,M365,United States,Deskside,BAC - Microsoft Teams - Not working due to error,Y,22-09-2022,Incident,  bac  microsoft teams  not working due to error,   bac   microsoft team   not work due to error,bac microsoft team
AM,Network,United States,Deskside,URGENT - Network Account - Off Network Computer Login Issue,Y,23-09-2022,Incident,urgent  network account  off network computer,urgent   network account   off network computer,urgent network account network computer
AM,Access,United States,Deskside,Not able to access to the computer without the VPN,Y,22-09-2022,Incident,not able to access to the computer without the vpn,not able to access to the computer without the vpn,
AM,M365,United States,Deskside,AM - Azuresynapce - Microsoft Integration Runtime,Y,05-12-2022,Incident, am  azuresynapce  microsoft integration runtime,  be   azuresynapce   microsoft integration runtime,azuresynapce microsoft integration runtime
AM,Laptop,United States,Deskside,Hardware Issue - Laptop crashing when unplugged,Y,06-10-2022,Incident,   hardware issue  laptop crashing when unplugged,    hardware issue   laptop crash when unplugged,hardware issue laptop crash
AM,Printer,United States,Deskside,Reported Issue - Hardware - Printer,Y,23-09-2022,Incident,               reported issue  hardware  printer,                report issue   hardware   printer,report issue hardware printer
AM,Email,United States,Deskside,Email - Other reported,Y,26-09-2022,Incident,                            email  other reported,                             email   other report,
AM,Hardware,United States,Deskside,JLL Hardware Issue - PDF Print Portal issues,Y,26-09-2022,Incident,      jll hardware issue  pdf print portal issues,       jll hardware issue   pdf print portal issue,jll hardware issue pdf print portal issue
AM,Intune,United States,Deskside,JLL - Intune - Application Download Issues,Y,06-10-2022,Incident,        jll  intune  application download issues,         jll   intune   application download issue,jll intune application download issue
AM,,United States,Deskside,JLL Office Word/Excel - Appplication issues,Y,26-09-2022,Incident,       jll office wordexcel  appplication issues,        jll office wordexcel   appplication issue,jll office wordexcel appplication issue
AP,,New Zealand,Deskside,Reported Issue - Application - Dell Display Manager,Y,22-09-2022,Incident,reported issue  application  dell display man,report issue   application   dell display man,report issue application dell display man
AM,,United States,Deskside,Unable to install applications - Visio,Y,28-09-2022,Incident,            unable to install applications  visio,             unable to install application   visio,install application visio
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,10-10-2022,Incident,                           hardware issue  laptop,                            hardware issue   laptop,hardware issue laptop
AM,Printer,Canada,Deskside,Hardware Issue -  Fiery printer pop up,Y,26-09-2022,Incident,            hardware issue   fiery printer pop up,             hardware issue    fiery printer pop up,hardware issue fiery printer
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Performance  ,Y,16-11-2022,Incident,             hardware issue  laptop performance  ,              hardware issue   laptop performance  ,hardware issue laptop performance
AM,Hardware,United States,Deskside,ALP - Reported Issue - Hardware - Headset - Pierce Gonzalez,Y,03-10-2022,Incident,alp  reported issue  hardware  headset  pie,alp   report issue   hardware   headset   pie,alp report issue hardware headset pie
