s,c,Cleaned_Column
Alert: Memory Utilization on infdemo-ora01 is in Critical,alert memory utilization on infdemoora01 is in critical,alert memory utilization on infdemoora01 is in critical
Alert: CPU Utilization on usauitadmust01 is Critical	,alert cpu utilization on usauitadmust01 is critical	,alert cpu utilization on usauitadmust01 is critical	
Alert: Memory Utilization on GJDEWEB01 is in warning,alert memory utilization on gjdeweb01 is in warning,alert memory utilization on gjdeweb01 is in warning
Alert: CPU Utilization on AUS-MCL01 is Warning	,alert cpu utilization on ausmcl01 is warning	,alert cpu utilization on ausmcl01 is warning	
Alert: Memory Utilization on tcmprd-haasr05.tcmis.com is warning,alert memory utilization on tcmprdhaasr05tcmiscom is warning,alert memory utilization on tcmprdhaasr05tcmiscom is warning
Alert: Memory Utilization on tcmdev-ws01.tcmis.com is warning,alert memory utilization on tcmdevws01tcmiscom is warning,alert memory utilization on tcmdevws01tcmiscom is warning
ALERT: DISK SPACE on XA6530-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on xa6530c label 88e6af70 has currently 20  is available,alert disk space on xa6530c label 88e6af70 has currently 20  is available
Alert: CPU Utilization on AUS-BI02 is Warning	,alert cpu utilization on ausbi02 is warning	,alert cpu utilization on ausbi02 is warning	
Critical ALERT:  A Microsoft IIS component  on G-MOVEITT1 is in a current state of: Down,critical alert  a microsoft iis component  on gmoveitt1 is in a current state of down,critical alert  a microsoft iis component  on gmoveitt1 is in a current state of down
ALERT: DISK SPACE on XA6516-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on xa6516c label 88e6af70 has currently 20  is available,alert disk space on xa6516c label 88e6af70 has currently 20  is available
Alert: CPU Utilization on AUS-ADMT01 is Critical	,alert cpu utilization on ausadmt01 is critical	,alert cpu utilization on ausadmt01 is critical	
Alert: Memory Utilization on tcmprd-haasr06.tcmis.com is warning,alert memory utilization on tcmprdhaasr06tcmiscom is warning,alert memory utilization on tcmprdhaasr06tcmiscom is warning
ALERT: Disk utilization on tcmtm-ws01.haasgroupintl.com is Warning,alert disk utilization on tcmtmws01haasgroupintlcom is warning,alert disk utilization on tcmtmws01haasgroupintlcom is warning
ALERT: DISK SPACE on XA6526-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on xa6526c label 88e6af70 has currently 20  is available,alert disk space on xa6526c label 88e6af70 has currently 20  is available
ALERT: DISK SPACE on XA6511-C:\ Label: 88E6AF70 has currently 19 % is available,alert disk space on xa6511c label 88e6af70 has currently 19  is available,alert disk space on xa6511c label 88e6af70 has currently 19  is available
ALERT:  A M5 Monitoring Tomcat component  on tcmprd-ws05.tcmis.com is Down,alert  a m5 monitoring tomcat component  on tcmprdws05tcmiscom is down,alert  a m5 monitoring tomcat component  on tcmprdws05tcmiscom is down
Alert: Memory Utilization on apexprd-wlogic01.haasgroupintl.com is warning,alert memory utilization on apexprdwlogic01haasgroupintlcom is warning,alert memory utilization on apexprdwlogic01haasgroupintlcom is warning
Alert: CPU Utilization on ADAVIIS01 is Critical	,alert cpu utilization on adaviis01 is critical	,alert cpu utilization on adaviis01 is critical	
Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB05 is in a current state of: Critical,critical alert  a jde_webserver_services component  on gjdeweb05 is in a current state of critical,critical alert  a jde_webserver_services component  on gjdeweb05 is in a current state of critical
Critical ALERT:  A Microsoft IIS component  on G-MOVEITT1 is in a current state of: Down,critical alert  a microsoft iis component  on gmoveitt1 is in a current state of down,critical alert  a microsoft iis component  on gmoveitt1 is in a current state of down
Alert: CPU Utilization in GJDEWEB05 is Critical	,alert cpu utilization in gjdeweb05 is critical	,alert cpu utilization in gjdeweb05 is critical	
Warning ALERT:  SQL Components component  on GBDVSMS0 shows Warning,warning alert  sql components component  on gbdvsms0 shows warning,warning alert  sql components component  on gbdvsms0 shows warning
Warning Alert: Memory Utilization on VALDC01 is : 94 %,warning alert memory utilization on valdc01 is  94 ,warning alert memory utilization on valdc01 is  94 
Alert: CPU Utilization on GJDEWEB05 is Critical,alert cpu utilization on gjdeweb05 is critical,alert cpu utilization on gjdeweb05 is critical
