resolver,summary,Cleaned_Column,topic_percent,topic,top_words
Linux Support,Alert: Memory Utilization on tcmdev-ws01.tcmis.com is warning,alert memory utilization on  is warning,69.06970673210922,6,memory-warning
Citrix Support,ALERT: DISK SPACE on XA6530-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on  label  has currently   is available,73.05062371521308,7,available-space
Windows Support,Alert: CPU Utilization on AUS-BI02 is Warning	,alert cpu utilization on  is warning	,69.2179321829216,5,warning-cpu
Windows Support,Critical ALERT:  A Microsoft IIS component  on G-MOVEITT1 is in a current state of: Down,critical alert  a microsoft iis component  on  is in a current state of down,73.81056435333,9,component-current
Citrix Support,ALERT: DISK SPACE on XA6516-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on  label  has currently   is available,73.05062371521308,7,available-space
Windows Support,Alert: CPU Utilization on AUS-ADMT01 is Critical	,alert cpu utilization on  is critical	,69.22142522263883,8,cpu-utilization
Linux Support,Alert: Memory Utilization on tcmprd-haasr06.tcmis.com is warning,alert memory utilization on  is warning,69.06970673210922,6,memory-warning
Linux Support,ALERT: Disk utilization on tcmtm-ws01.haasgroupintl.com is Warning,alert disk utilization on  is warning,68.37716807382607,5,warning-cpu
Citrix Support,ALERT: DISK SPACE on XA6526-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on  label  has currently   is available,73.05062371521308,7,available-space
Citrix Support,ALERT: DISK SPACE on XA6511-C:\ Label: 88E6AF70 has currently 19 % is available,alert disk space on  label  has currently   is available,73.05062371521308,7,available-space
Linux Support,ALERT:  A M5 Monitoring Tomcat component  on tcmprd-ws05.tcmis.com is Down,alert  a  monitoring tomcat component  on  is down,67.71139693684177,7,available-space
Linux Support,Alert: Memory Utilization on apexprd-wlogic01.haasgroupintl.com is warning,alert memory utilization on  is warning,69.06970673210922,6,memory-warning
Windows Support,Alert: CPU Utilization on ADAVIIS01 is Critical	,alert cpu utilization on  is critical	,69.22142522263883,8,cpu-utilization
JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB05 is in a current state of: Critical,critical alert  a jde_webserver_services component  on  is in a current state of critical,72.46666090069512,0,component-jde_webserver_services
Windows Support,Critical ALERT:  A Microsoft IIS component  on G-MOVEITT1 is in a current state of: Down,critical alert  a microsoft iis component  on  is in a current state of down,73.81056435333,9,component-current
JDE CNC Technical,Alert: CPU Utilization in GJDEWEB05 is Critical	,alert cpu utilization in  is critical	,69.22142522263883,8,cpu-utilization
MS SQL Database Support,Warning ALERT:  SQL Components component  on GBDVSMS0 shows Warning,warning alert  sql components component  on  shows warning,56.98621156616981,0,component-jde_webserver_services
Windows Support,Warning Alert: Memory Utilization on VALDC01 is : 94 %,warning alert memory utilization on  is   ,69.06970673210922,6,memory-warning
JDE CNC Technical,Alert: CPU Utilization on GJDEWEB05 is Critical,alert cpu utilization on  is critical,69.22142522263883,8,cpu-utilization
Linux Support,ALERT: Disk utilization on tcmtm03-ws01.haasgroupintl.com is Warning,alert disk utilization on  is warning,68.37716807382607,5,warning-cpu
Network Support,TIER 1 - CRITICAL ALERT: MX-CHI2-4351-R01.wescoaircraft.com is Down,tier   critical alert  is down,65.50657913727687,4,tier-critical
Network Support,TIER 1 - CRITICAL ALERT: WAN Interface Unreachable on MX-CHI2-4351-R01.wescoaircraft.com,tier   critical alert wan interface unreachable on ,71.6557084115629,4,tier-critical
Network Support,TIER 1 - CRITICAL ALERT: WAN Interface Unreachable on MX-CHI2-4351-R01.wescoaircraft.com,tier   critical alert wan interface unreachable on ,71.6557084115629,4,tier-critical
Windows Support,ESX ALERT: MXCH-ESX02.wescohq.com is Down,esx alert  is down,58.66862220621191,9,component-current
Windows Support,ESX ALERT: MXCH-ESX01.wescohq.com is Down,esx alert  is down,58.66862220621191,9,component-current
Windows Support, NODE ALERT: CHIHUAHUA-DC01 is Down, node alert  is down,60.40580872011787,3,node-alert
Windows Support, NODE ALERT: MXCH-FILE01 is Down, node alert  is down,60.40580872011787,3,node-alert
Windows Support, NODE ALERT: MXCVSDC0 is Down, node alert  is down,60.40580872011787,3,node-alert
Windows Support, NODE ALERT: MXCH-DC01 is Down, node alert  is down,60.40580872011787,3,node-alert
Network Support,TIER 1 - CRITICAL ALERT: WAN OUTAGE 12 on MX-CHI2-4351-R02.wescoaircraft.com,tier   critical alert wan outage  on ,44.49963383782023,4,tier-critical
Network Support,TIER 1 - CRITICAL ALERT: WAN OUTAGE 12 on MX-CHI2-4351-R02.wescoaircraft.com,tier   critical alert wan outage  on ,44.49963383782023,4,tier-critical
JDE CNC Technical,Alert: CPU Utilization in GJDEWEB03 is Warning	,alert cpu utilization in  is warning	,69.2179321829216,5,warning-cpu
Windows Support,Warning Alert: Memory Utilization on VALDC01 is : 96 %,warning alert memory utilization on  is   ,69.06970673210922,6,memory-warning
Windows Support,Alert: CPU Utilization on GBVVSML0 is Critical	,alert cpu utilization on  is critical	,69.22142522263883,8,cpu-utilization
Network Support,TIER 1 - CRITICAL ALERT: MX-CHI2-9300-MDF-S01.wescoaircraft.com is Down,tier   critical alert  is down,65.50657913727687,4,tier-critical
Network Support,TIER 1 - CRITICAL ALERT: WAN OUTAGE 12 on MX-CHI2-4351-R01.wescoaircraft.com,tier   critical alert wan outage  on ,44.49963383782023,4,tier-critical
Network Support,TIER 1 - CRITICAL ALERT: WAN OUTAGE 12 on MX-CHI2-4351-R01.wescoaircraft.com,tier   critical alert wan outage  on ,44.49963383782023,4,tier-critical
Windows Support,Alert: CPU Utilization on usauitadmust01 is Critical	,alert cpu utilization on  is critical	,69.22142522263883,8,cpu-utilization
JDE CNC Technical,Alert: CPU Utilization in GJDEWEB08 is Critical	,alert cpu utilization in  is critical	,69.22142522263883,8,cpu-utilization
