resolver grp,summary,num,prio
Network Support,TIER 3 - Critical Device Down: CN-HAN-C1111-R01.wescoaircraft.com is Down,INC0116809,3 - Moderate
Citrix Support,ALERT: DISK SPACE on XA6506-C:\ Label: 88E6AF70 has currently 19 % is available,INC0116825,3 - Moderate
Windows Support,Warning Alert: Memory Utilization on VALPRNT02 is : 94 %,INC0116828,3 - Moderate
Windows Support,Alert: CPU Utilization on CODEPROXY01 is Critical	,INC0116835,2 - High
Citrix Support,ALERT: DISK SPACE on XA6507-C:\ Label: 88E6AF70 has currently 20 % is available,INC0116840,3 - Moderate
Citrix Support,ALERT: DISK SPACE on XA6511-C:\ Label: 88E6AF70 has currently 20 % is available,INC0116843,3 - Moderate
Windows Support,DHCP Alerts: Service Impacted on  10.102.0.1 Location Northlake,INC0116845,2 - High
Windows Support,Critical ALERT:  A Windows DHCP Server - Full/Almost_Full component  on DALLAS-DC02 is in a current state of: Down,INC0116847,2 - High
Windows Support, NODE ALERT: AUSOFF-FILE01 is Down,INC0116848,2 - High
Windows Support,Critical ALERT:  A Distributed File System (DFS) component  on AUS-DFS01 is in a current state of: Down,INC0116849,2 - High
Backup Support,NODE Down ALERT: iDRAC-9TQS2T2 is Down,INC0116850,2 - High
Citrix Support,ALERT: DISK SPACE on XA6509-C:\ Label: 88E6AF70 has currently 20 % is available,INC0116851,3 - Moderate
Backup Support,NODE Down ALERT: iDRAC-9TQS2T2 is Down,INC0116856,2 - High
Network Support,TIER 2 - Non-Critical Device Down: FR-TAV-5406-CORE01 is Down,INC0116858,2 - High
Windows Support, NODE ALERT: FRTVSDC0 is Down,INC0116859,2 - High
Windows Support, NODE ALERT: FRTVSDC1 is Down,INC0116860,2 - High
Windows Support, NODE ALERT: FRTSRHV1 is Down,INC0116861,2 - High
Windows Support, NODE ALERT: FRTVSFM0 is Down,INC0116862,2 - High
Windows Support, NODE ALERT: FRTSRHV0 is Down,INC0116863,2 - High
Windows Support, NODE ALERT: FRTVSFP0 is Down,INC0116864,2 - High
Windows Support, NODE ALERT: FRTVSMS0 is Down,INC0116865,2 - High
Service Desk,TIER 3 - Critical Device Down: UK-RED-TZ300-F01 is Down,INC0116866,3 - Moderate
Network Support,Network Device Hardware Alert : Fan Sensor on FR-TAV-2610-S07 is Critical,INC0116871,3 - Moderate
Backup Support,NODE ALERT: ukhdnas.wescohq.com is Down,INC0116872,2 - High
Backup Support,NODE Down ALERT: ukhdnas.wescohq.com is Down,INC0116873,2 - High
Citrix Support,ALERT: DISK SPACE on XA6525-C:\ Label: 88E6AF70 has currently 20 % is available,INC0116876,3 - Moderate
